,years,Means 0,Means 1
0,2011,1.9493544101715088,0.598883867263794
1,2015,0.508923351764679,1.2529608011245728
2,2012,1.5388760566711426,1.4005149602890015
3,2015,0.12653982639312744,3.2545723915100098
4,2016,-0.4373632073402405,2.561972141265869
5,2011,1.339186429977417,0.5441781282424927
6,2012,1.5388760566711426,1.4005149602890015
7,2016,-0.2900547683238983,2.8485920429229736
8,2011,2.0011255741119385,1.0897587537765503
9,2015,0.508923351764679,1.2529608011245728
10,2016,-0.2900547683238983,2.8485920429229736
11,2010,1.4927592277526855,0.5278118848800659
12,2012,2.0011255741119385,1.0897587537765503
13,2014,0.508923351764679,1.2529608011245728
14,2015,-0.055557191371917725,3.102018356323242
15,2016,-0.2900547683238983,2.8485920429229736
16,2014,0.508923351764679,1.2529608011245728
17,2015,-0.055557191371917725,3.102018356323242
18,2016,-0.2900547683238983,2.8485920429229736
19,2016,-0.2900547683238983,2.8485920429229736
20,2010,1.721428632736206,0.6573789119720459
21,2012,1.7055091857910156,1.227883219718933
22,2013,1.2688255310058594,2.327425956726074
23,2014,0.12653982639312744,3.2545723915100098
24,2015,-0.19313380122184753,2.8691301345825195
25,2010,1.9859516620635986,0.6718275547027588
26,2012,1.5556206703186035,1.242140293121338
27,2014,0.3980748653411865,1.221082091331482
28,2015,0.12653982639312744,3.2545723915100098
29,2014,0.3980748653411865,1.221082091331482
30,2014,0.3980748653411865,1.221082091331482
31,2015,0.13848745822906494,3.2983596324920654
32,2016,0.5924570560455322,1.307348608970642
33,2010,1.5796794891357422,0.4524264931678772
34,2014,0.00368577241897583,3.177231788635254
35,2015,0.12653982639312744,3.2545723915100098
36,2014,0.12653982639312744,3.2545723915100098
37,2014,-0.14884385466575623,2.7872226238250732
38,2010,1.8839774131774902,0.6070291996002197
39,2016,0.24014759063720703,1.2355015277862549
40,2016,0.24014759063720703,1.2355015277862549
41,2016,0.18691453337669373,1.1781342029571533
42,2016,0.18691453337669373,1.1781342029571533
43,2016,-0.8560212254524231,3.7775795459747314
44,2016,-0.9293292164802551,3.5710456371307373
45,2012,1.1366281509399414,1.8659183979034424
46,2012,1.1366281509399414,1.8659183979034424
47,2016,-0.8392022252082825,3.74273419380188
48,2012,0.8659130930900574,1.6768710613250732
49,2016,-0.8392022252082825,3.74273419380188
50,2012,1.1366281509399414,1.8659183979034424
51,2012,1.1021814346313477,1.9730420112609863
52,2012,1.853022575378418,0.49522197246551514
53,2012,1.1262521743774414,2.108161211013794
54,2013,1.2890219688415527,1.688547134399414
55,2012,1.1021814346313477,1.9730420112609863
56,2012,1.853022575378418,0.49522197246551514
57,2014,0.4509933590888977,1.3975955247879028
58,2014,-0.0071579813957214355,3.1211256980895996
59,2014,0.00021249055862426758,2.9092679023742676
60,2014,0.00368577241897583,3.177231788635254
61,2014,0.00368577241897583,3.177231788635254
62,2014,0.7924730181694031,1.512433409690857
